TIMESTAMP,wnd_spd,wnd_spd_max,wnd_spd_min,u_star,wnd_dir_sonic
27-03-15 16,0.448257,0.5512969,0.3452171,0.088338425,-89.328105
27-03-15 17,0.7937009,1.132132,0.4552698,0.12677325,-110.65524
27-03-15 18,1.0561694,1.27478,0.8375588,0.14093355,-115.2767
27-03-15 19,1.14287055,1.329918,0.9558231,0.123073705,-142.9904
27-03-15 20,1.1044875,1.180514,1.028461,0.10090522,-159.62185
27-03-15 21,0.95246155,1.142555,0.7623681,0.09654916,-139.02725
27-03-15 22,0.7850588,0.8594077,0.7107099,0.079546045,16.13025
27-03-15 23,1.00954155,1.070505,0.9485781,0.093956025,2.5132
27-04-15 00,0.46050855,0.609305,0.3117121,0.027671605,45.012685
27-04-15 01,0.86024105,0.9657798,0.7547023,0.072857705,11.67955
27-04-15 02,1.0150094,1.100084,0.9299348,0.099759375,-110.751445
27-04-15 03,1.111202,1.119197,1.103207,0.10813375,-120.31
27-04-15 04,1.8663815,2.2238,1.508963,0.2695716,-104.551765
27-04-15 05,2.4945155,2.76759,2.221441,0.4342918,-82.17462
27-04-15 06,1.708199,2.139649,1.276749,0.25813025,-65.070905
27-04-15 07,0.95042845,1.185321,0.7155359,0.12571108,-68.54474
27-04-15 08,2.9581065,3.355353,2.56086,0.5422733,-75.81802
27-04-15 09,4.006622,4.034337,3.978907,0.6953463,-77.40213
27-04-15 10,3.7645825,3.817857,3.711308,0.68403655,-70.29335
27-04-15 11,3.5304275,3.646319,3.414536,0.6054118,-65.19562
27-04-15 12,2.8970405,3.008363,2.785718,0.5796553,-69.65266
27-04-15 13,2.992742,3.027886,2.957598,0.5305948,-67.285615
27-04-15 14,3.0551415,3.13376,2.976523,0.5454962,-66.29063
27-04-15 15,2.6995745,2.879212,2.519937,0.5567247,-60.12697
27-04-15 16,2.0891055,2.243641,1.93457,0.37818055,-75.320525
27-04-15 17,1.419061,1.451729,1.386393,0.20986,-92.73703
27-04-15 18,1.4420855,1.481907,1.402264,0.162734,-110.1331
27-04-15 19,1.686813,1.723789,1.649837,0.1882533,-109.15445
27-04-15 20,1.816279,1.840069,1.792489,0.20923815,-110.1429
27-04-15 21,1.711887,1.86034,1.563434,0.2104449,-102.88165
27-04-15 22,1.3062025,1.309,1.303405,0.11883115,-117.06525
27-04-15 23,1.3841915,1.435593,1.33279,0.1190314,-114.81215
27-05-15 00,2.0376675,2.080223,1.995112,0.20695435,-118.87655
27-05-15 01,1.646156,1.732789,1.559523,0.1727029,-125.40805
27-05-15 02,1.6932245,1.812621,1.573828,0.17313945,-127.37135
27-05-15 03,1.804059,1.893422,1.714696,0.16907165,-120.8292
27-05-15 04,1.5137475,1.52603,1.501465,0.1212969,-119.98825
27-05-15 05,1.6533685,1.662326,1.644411,0.14963985,-118.95755
27-05-15 06,1.6499405,1.834663,1.465218,0.1608565,-118.75155
27-05-15 07,1.1250455,1.156521,1.09357,0.1098055,-128.5231
27-05-15 08,1.5977235,1.786068,1.409379,0.2972914,-78.897525
27-05-15 09,2.0920285,2.10603,2.078027,0.3727593,-53.16385
27-05-15 10,2.5259945,2.926043,2.125946,0.46916475,-51.415165
27-05-15 11,2.807099,3.059396,2.554802,0.4342379,-31.37546
27-05-15 12,3.0545415,3.267764,2.841319,0.48986055,-17.979505
27-05-15 13,2.4661435,2.63994,2.292347,0.39208885,-15.44809
27-05-15 14,1.954684,2.305426,1.603942,0.27687485,-28.362885
27-05-15 15,1.7912705,1.901438,1.681103,0.32694515,7.53134
27-05-15 16,1.448517,1.526696,1.370338,0.2531635,15.88701
27-05-15 17,1.13759865,1.305473,0.9697243,0.2015622,72.872715
27-05-15 18,0.7577397,0.9542664,0.561213,0.036345015,169.3873
27-05-15 19,1.488328,1.621332,1.355324,0.12701945,173.43935
27-05-15 20,1.351897,1.554188,1.149606,0.099800305,-1.7874
27-05-15 21,1.5692065,1.794853,1.34356,0.1193017,-160.96085
27-05-15 22,1.01525375,1.278038,0.7524695,0.099313725,-110.06769
27-05-15 23,0.83736285,1.15468,0.5200457,0.02965186,132.60295
27-06-15 00,2.0899145,2.158543,2.021286,0.31268875,-133.8349
27-06-15 01,1.78733,1.943503,1.631157,0.270789,-133.1235
27-06-15 02,1.780278,1.885048,1.675508,0.2724247,-138.69635
27-06-15 03,1.466189,1.562241,1.370137,0.2317863,-120.54015
27-06-15 04,1.2830215,1.472621,1.093422,0.15936065,-127.3306
27-06-15 05,1.512912,1.716067,1.309757,0.2182274,-142.2171
27-06-15 06,1.9621225,2.028716,1.895529,0.29348295,-125.94045
27-06-15 07,2.1253665,2.194383,2.05635,0.3221395,-115.7166
27-06-15 08,2.213466,2.579288,1.847644,0.38775775,-96.031865
27-06-15 09,3.211531,3.694736,2.728326,0.6305469,-85.327045
27-06-15 10,3.858943,4.102604,3.615282,0.7025346,-86.35211
27-06-15 11,3.5750135,3.924872,3.225155,0.5988015,-77.985775
27-06-15 12,3.7093475,3.746614,3.672081,0.6694313,-91.93103
27-06-15 13,3.6770815,3.695062,3.659101,0.7167294,-96.27457
27-06-15 14,3.193939,3.574941,2.812937,0.6476905,-94.33063
27-06-15 15,2.920587,2.954605,2.886569,0.5411308,-100.206115
27-06-15 16,3.2374575,3.371167,3.103748,0.6047389,-94.43187
27-06-15 17,2.2781775,2.490135,2.06622,0.40136935,-108.34635
27-06-15 18,1.97842,1.992395,1.964445,0.31897595,-126.18385
27-06-15 19,2.048034,2.048346,2.047722,0.29666955,-129.09625
27-06-15 20,2.1074075,2.197906,2.016909,0.2850133,-128.78765
27-06-15 21,2.096073,2.104386,2.08776,0.3199397,-137.94935
27-06-15 22,2.112583,2.246941,1.978225,0.31351565,-135.77455
27-06-15 23,1.5857775,1.614884,1.556671,0.21646315,-137.883
27-07-15 00,0.56889735,0.6671252,0.4706695,0.02043439,-123.98325
27-07-15 01,0.42005145,0.5140816,0.3260213,0.01380104,-146.4598
27-07-15 02,0.5606752,0.5984331,0.5229173,0.0604374,8.32705
27-07-15 03,0.89475365,1.131935,0.6575723,0.04320874,130.00445
27-07-15 04,1.185001,1.298989,1.071013,0.03912818,133.674
27-07-15 05,1.16152125,1.409566,0.9134765,0.073379415,-13.7027
27-07-15 06,0.54641445,0.5607871,0.5320418,0.028466175,25.7299
27-07-15 07,0.69855825,0.7720751,0.6250414,0.039893285,176.02665
27-07-15 08,0.8122071,0.8351306,0.7892836,0.1508196,-83.90007
27-07-15 09,2.4812165,3.242415,1.720018,0.46914305,-67.853635
